FacultyName,CourseName,CourseDivision,Level,CourseDescription,Bonus Information
"Ialeggio, Anna",Place Through Pigments,ADS,Introductory/Intermediate,"Terry Tempest Williams wrote that “... soul and soil are not separate.”  This seems especially true in the realm of pigments: colors gathered from the world around us, through which an inner state of mind may be expressed. As they are derived from plants, rocks, and soils, pigments also form direct material links between the artist and the place where the pigments were made.

This sketchbook-based course will cover the respectful sourcing of natural pigment ingredients (earth, rocks, plants, seaweed, fungi) and other materials; processing techniques (grinding, sieving, washing, and laking), and binding agents (linseed oil, gum arabic, soy milk, and egg white), and application methods (watercolors, oil paints). For the first half, we will travel, forage, process, and build up a palette of place-based pigments.  For the second, we’ll settle into an intensive studio period in which to explore the unique effects of making art with materials that are deeply, specifically of this place. We will explore observational drawing, free association, and doodling as equally valiant modes of expression. Along the way, we’ll look at artwork and talk to artists working within the realm of hyper-local materials.

Students should be prepared for multiple short trips by van and boat, as well as one overnight weekend camping trip. The course fee of $100 covers the cost of personal art-making supplies (yours to keep), studio equipment and supplies for the whole class to use, and the cost of travel on- and off-island.

Evaluation is based on participation in class activities (exercises, presentations, readings, discussions, frequent writing and/or drawing prompts), significant studio time outside of class, timely completion of two major projects with corresponding group critique sessions, consistent involvement with collecting and producing pigments, and general studio maintenance.

Level: Introductory/Intermediate. Prerequisites: None.  Class limit: 11.  Lab fee: $100.  Meets the following degree requirements: ADS.",
"Letcher, Susan",Plant Systematics,ES,Advanced,"Systematics is the scientific study of classification, specifically the placement of organisms into groups based on their common descent. This course focuses on the classification of land plants, with a particular focus on herbaceous taxa found in coastal Maine. Through lectures and field, lab, and herbarium work, we will gain familiarity with the practice of systematics and the characteristics of plants that are used to infer their phylogenetic relationships. Lectures will cover the theory and practice of systematics, including botanical nomenclature, plant identification terminology, relationships among the major plant groups and characters with taxonomic significance, herbarium specimen preparation, and bioinformatics. Labs will cover collection methods, specimen preparation, and field characters for about 30 plant families in the region. Evaluation will be based on participation, field and lab quizzes, a 5-minute oral presentation on a plant species chosen by the instructor and a 15-minute oral presentation on a topic in plant systematics chosen by the student, and a collection of at least 30 plant specimens from at least 20 different families prepared and identified by the student. Students should plan to begin collecting specimens over the summer in preparation for the course, following guidance that will be provided to registered students during the spring term. Please note: all collecting must be done in accordance with state and federal laws; there must be NO collecting in Acadia National Park and no importation of specimens from outside the US.

Level: Advanced.  Prerequisite: Biology Form & Function and Trees and Shrubs of MDI or equivalent knowledge of local flora. Class limit: 15. Lab fee: $40. Meets the following degree requirements: ES.",
"Letcher, Susan",Population and Community Ecology,ES QR,Intermediate/Advanced,"Ecology, in the narrowest sense, is the study of the distribution and abundance of organisms on the earth. This class focuses on ecology as a science, and particularly the intellectual tradition within ecology that has sought to develop simple mathematical descriptions of complex phenomena. Population ecology studies the growth and decline of populations (i.e., groups of organisms of the same species), while community ecology studies the interactions among populations. We will study classic models in population and community ecology, developing the models from first principles, applying them to real data, and critically examining the shortcomings of the modeling approach. Concepts to be covered in the class include exponential vs. logistic population growth, competition, predator-prey interactions, metapopulation dynamics, stochastic vs. deterministic processes, optimal foraging theory, succession, and behavioral ecology.This course will be useful for students who are considering graduate school in ecology and related disciplines, and it is open to anyone with relevant background knowledge and curiosity. Students will be evaluated based on participation in class discussions, a series of problem sets, and a final paper.

Knowledge of algebra is necessary, along with a willingness to grapple with mathematical thinking. Knowledge of calculus and linear algebra is helpful but is not required.

Level: Intermediate/Advanced.  Prerequisites: At least one intermediate course in ecology and a knowledge of algebra.  Class limit: 20.  Lab fee: none.  Meets the following degree requirements: ES, QR",
"Rand, Kendra",Public Speaking Workshop,HS,Introductory,"Consider all the ways that public speaking could be a part of your academic and professional paths: presenting your research, sitting on a webinar panel, speaking up at ACM, advocating for an urgent cause or policy, preparing your senior project presentation, delivering a formal address at a special occasion, or even deciding to perform spoken word at an open-mic. This course will prepare you to thoughtfully analyze your audience, research and organize relevant information, and deliver the critically important, well-prepared presentation that you’re capable of.  Along the way we will be guided by, and critically analyze, three varied and sometimes contradictory premises: that it’s imperative to master the art of formal, standard presentation/speech delivery, that it’s equally important to respect and refine your own unique, authentic voice and speech communication style, and that important change happens when we both listen carefully and speak up loudly.  This class will be conducted as a workshop with an emphasis on students producing increasingly advanced speeches for public performance and/or consumption. Students will complete three graded, “formal” presentations  while also considering additional creative approaches and formats for  public communication.  Students will work with a variety of short texts and videos to generate new ideas and helpful public speaking habits.  The real benefits of this course come from the positive, supportive, environment in which students can practice new public speaking skills and learn from each other.  This class emphasizes a fun, dynamic, “hands-on” approach to constructing speeches.  Students who feel that they are less proficient in the area of public communication should not be worried that this would somehow disadvantage them in terms of their overall evaluation.  All students, regardless of their levels of comfort, experience, or and English-proficiency are encouraged to consider this course.  This workshop is designed to help you improve your public presentation skills regardless of whether you are a complete novice to public speaking, or already have many years of practice. Your final evaluation for the course will be based on your engagement with the process, not on some objective standard of who gave the best speeches. 

Level: Introductory.  Prerequisites: None.  Class limit: 14.  Lab fee: None. Meets the following degree requirements: HS.",
"Hall, Sarah",Rocks and Minerals,ES,Introductory/Intermediate,"In this course, students will learn to identify ~70 common rocks and minerals in hand sample, and a few common minerals in thin section. Building on their ability to identify minerals, students will learn to properly classify igneous, sedimentary, and metamorphic rocks using standard classification methods. Beyond learning about igneous, sedimentary, and metamorphic rock-forming environments, we will cover topics such as plate tectonics, geologic time, basic petrology and mineralogy, tools and instruments used for chemical and physical analysis, and natural resources related to rocks and minerals. By the end of the term, students will be able to relate a rock to its environment of formation, identify common rocks and minerals in hand sample, and relate the types and spatial distribution of rocks and minerals to the geologic history of Mt. Desert Island and Maine. The course will include weekly readings from mineralogy and petrology textbooks and web-resources. Students will complete a rock/mineral lab each week and quizzes every other week. We will visit a few local field sites and as well as conduct one weekend-long collecting trip to sites throughout Maine. The students will be evaluated based on their performance on the weekly labs and quizzes, the completeness and accuracy of their collection, and a final project on the rocks and minerals of one select MDI field site. The course fee covers the cost of a weekend collecting field trip, and some field and lab supplies. 

Level: Introductory/Intermediate. Prerequisites: Any intro geoscience course.  Class limit: 16.  Lab fee: $100.  Meets the following degree requirements: ES",
"Pena, Karla",Spanish: Beginning II,HS,Introductory,"This course is immersive and interdisciplinary. Students work exclusively in Spanish, and the language is always taught through the cultural context of Latin America and more specifically Yucatán. Students learn not only in the classroom but also through constant interactions with other Spanish-speaking environments, fostering cultural enrichment and connection. This course is intended for students with a basic knowledge of grammar and some fundamental vocabulary. Daily classes and assignments strengthen the ability of students to express themselves clearly orally and through writing. Students write, read texts, present on various topics, converse in pairs and groups, sing and dance, learn basic grammar, and develop their vocabulary. Outside of the daily classes, students organize and perform in the annual Spanish Festival. The course reviews grammar structures familiar to the students before continuing with the study of additional basic grammatical structures, which may include but are not limited to: complex sentence structures in present perfect and past continuous; imperatives;  conditionals; two future tenses; personal pronouns and pronouns of direct and indirect objects; as well as more simple and compound sentence structures. Upon completing this course, students will be able to express themselves and communicate confidently in Spanish. They will be able to express general information and stories in past tenses. They will be able to express differing degrees of certainty, feelings, desires and preferences. They will also be able to express obligations, ask for permission, and explore possibilities. Evaluation is based on presentations, written compositions, listening and spoken tests, written tests covering grammar, daily homework, and most importantly class participation. 

Level: Introductory. Prerequisite: Instructor Permission. Class limit: 10. Lab fee: $30. Meets the following degree requirements: HS",
"Pena, Karla",Spanish: Communication and Discussion,HS,Advanced,"This course is immersive and interdisciplinary. Students work exclusively in Spanish, and the language is always taught through the cultural context of Latin America and more specifically Yucatán. Students learn not only in the classroom but also through constant interactions with other Spanish-speaking environments, fostering cultural enrichment and connection. This course is designed for students with substantial vocabulary, a basic understanding of the subjunctive mood, and basic competence in other intermediate grammatical structures such as simple and compound tenses in the indicative mood.This course intentionally focuses on building student’s confidence in spoken communication, using grammatical structures they are already familiar with as well as some that they learn during the course, according to their individual needs. Class activities include debates in groups and pairs; improvisation with spoken word; analysis of audiovisual texts and materials; as well as formal and informal presentations based on a wide range of topics. This course employs diverse resources such music, dance, film, and speeches to encourage a broader vocabulary. Students constantly practice incorporating complex grammatical structures, such as the subjunctive mood, into their speech. By the end of this course, students will be able to express themselves with a higher level of proficiency and in more creative, diverse and natural ways while incorporating more complex grammatical structures with precision. Evaluation will be based on class participation, homework assignments, presentations and progress in effective communication across a wide range of circumstances. 

Level: Advanced. Prerequisite: Permission of instructor. Class limit: 10. Lab fee: $30. Meets the following degree requirements: HS.",
"Pena, Karla",Spanish: Immersive Beginning I,HS,Introductory,"This course is immersive and interdisciplinary. Students work exclusively in Spanish, and the language is always taught through the cultural context of Latin America and more specifically Yucatán. Students learn not only in the classroom but also through constant interactions with other Spanish-speaking environments, fostering cultural enrichment and connection. This course is for students who have minimal experience with Spanish and are anticipating an immersion experience in a Spanish speaking context such as the Yucatán Program. Daily classes and assignments emphasize the development of basic comprehension and communication, both written and spoken. Students write, read texts, present on various topics, converse in pairs and groups, sing and dance, learn basic grammar, and develop their vocabulary. Outside of the daily classes, students organize and perform in the annual Spanish Festival. The grammatical structures developed in this course include but are not limited to: all parts of speech, such as articles, adjectives and adverbs in present tense; the use of reflexive verbs; past tense and all variety of sentence structures. This course also provides an orientation to living and studying in Yucatán, Mexico. The lab time is a specific formal orientation to immersion, building on the cultural context incorporated in daily classes. Upon completing this course, students will be able to express themselves and communicate confidently in Spanish. They will be able to share opinions, knowledge, questions, emotions, wishes, and preferences as well as petitions, greetings, congratulations and thanks using simple sentence structures. Additionally, they will have developed a basic cultural understanding, allowing them to incorporate themselves into new contexts with more ease. Evaluation is based on presentations, compositions, listening and spoken tests, written tests covering grammar, daily homework, and most importantly class participation.

Level: Introductory. Prerequisite: Instructor Permission. Class limit: 10. Lab fee: $30. Meets the following degree requirements: HS",
"van Vliet, Netta","Structuralism: Resistance, Change, Politics",HS,Introductory/Intermediate,"How do your actions impact the structures and conditions within which you exist? How do these structures impact you? How are they made? Where do you locate yourself within the structures of which you are part? With whom are you in relation? How can we think about the idea of “agency” in conditions made by economic, political, material and social forces beyond our control? What is structural change? This course examines questions about change, resistance to change, choice, power, responsibility, politics and difference through an introduction to structural and post-structural thought. Structuralism and post-structuralism are modes of thinking that posit that the parts of a structure (e.g. of a society, of a text, of an institution) are made through their relations in that structure. This course will draw on structural and post-structural work in anthropology, literature, science and technology studies (STS), in postcolonial, gender and feminist studies, as well as in deconstruction and psychoanalysis, to investigate the significance of structures of kinship, economy, and language, as well as of institutions such as the school, the military, the state and the corporation. Students will be asked to consider the relation between individual and group, material, economic, racialized and gendered conditions of existence, and notions of agency, responsibility, the individual and the human. In addition to seminar discussions of texts and short writing assignments, students will select a structure within which they are located through which to investigate the central questions of the course. Authors we read will likely include Louis Althusser, Emily Apter, Tarek El-Ariss, Charisse Burden-Stelly, Judith Butler, Jacques Derrida, Emile Durkheim, Frantz Fanon, Michel Foucault, Sigmund Freud, Stuart Hall, Donna Haraway, Ranjana Khanna, Claude Levi-Strauss, Karl Marx, Edward Said, Ferdinand de Saussure, Gayatri Chakravorty Spivak, and Anna Tsing. Films and television series we watch may include The Matrix, Blade Runner, Madam Secretary (selection) and Poor Things. Students will be evaluated based on class participation, reading responses and individual and small group assignments.

Level: Introductory/Intermediate. Prerequisites: None.  Class limit: 12.  Lab fee: None.  Meets the following degree requirements: HS.",
"Friedlander, Jay",The Camino,HS,Intermediate/Advanced,"The Camino monster course travels the roughly 500-mile pilgrimage route of the Camino Frances. Students will walk the path from St. Jean Pied-du-Port to Santiago de Compostela that millions have traveled since the end of the 9th century. Designated as the first Cultural Route of the Council of Europe and a UNESCO World Heritage Site, the route starts in France, crossing the Pyrenees and traveling through the vineyards, plains of wheat and sunflower, verdant hills, medieval villages, and storied cities of northern Spain. While founded as a Catholic pilgrimage, people walking the route today may be embarking on a personal challenge, wrestling with existential questions and life transitions, searching for an intentional community with more caring societal norms or journeying for a myriad of other reasons. Intertwined with the Camino’s religious, cultural, and personal significance is its role as an economic engine across the millennia. The Roman roads and forts are testament to its long standing economic significance. From the age of the Knights Templar through today, the Camino continues to be the economic lifeblood of the region and the small businesses, inns and villages along the route. The course has three primary components. First, students will investigate the human ecology of the Camino through modern and ancient readings, film screenings, visits to sites of historical and cultural significance, and interactions with pilgrims. These materials and interactions will inform group discussions, as well as papers, presentations and other deliverables. Second, to move students beyond their quotidian routine, participants will follow a guided plan of self-discovery, introspection, and reflection that will take place on and around their daily walks. These activities include a series of exercises, one-on-one meetings, and journaling. Finally, to dive deeper into their own Camino, students will conduct a capstone research project of their own design. Proposals, finalized early in the course, shall include the most appropriate means of communicating their findings, such as a research paper, in-depth presentation, or other modality. Whether students are interested in history, geography, commerce, sustainable tourism, art, human relations, spirituality, local foodways, or what it means to be human, this journey will provide ample fodder for a curious mind. Evaluation will be based on engagement with the course, participation in group discussions and meetings, quality of the various written and verbal assignments, and the capstone research project. There are no prerequisites or language requirements. However, some knowledge of Spanish is encouraged and can provide for a more enriching experience. Students must be capable of walking with a 20+ pound backpack over a variety of terrain for an average of 12.4 miles (20 km) per day. As this is a monster expeditionary course, space is limited and enrollment requires permission of the instructor.

Assessment will be based on evidence that the student has completed assignments and readings; conducted a substantive and thorough independent research project; as well as, active and meaningful participation in seminar discussions and other course activities.

Level: Intermediate/Advanced. Prerequisites: None.  Class limit: 12.  Lab fee: $1,100. Meets the following degree requirements: HS.",
"Khor, Su Yin","The Craft, Theory, and Practice of Interviewing",HS,Advanced,"This course is about the craft, theory, and practice of interviewing primarily for research projects, but it’s also relevant to other interview-based projects like documentaries, journalism, and podcasts. Craft: Asking questions is a fundamental component of human interactions, but interviewing requires more than basic interactional ability. It takes thought, intention, empathy, and presence to build a relationship with interviewees and to create a space where they feel safe, seen, and heard. How do interviewers orient to the speakers and navigate power dynamics while humanizing the interview process? Theory: You will be introduced to the ways that interviews and the interviewer-interviewee relationship have been theorized and conceptualized by researchers. Recent efforts to humanize research methods have raised questions about the use of interviews, as well as the positioning and treatment of interviewees. What ethical considerations do we have to make when people trust us with their stories? Practice: A great deal of preparation is completed prior to interviewing and more labor awaits post-interview. You will learn about practical aspects, such as question design, recording methods, transcription practices, and analytical methods (discourse analysis). Basic aspects of developing a research/project will be introduced and ethical considerations will be discussed. As risks can’t be eliminated, how do we navigate, assess, and manage them? Skills like project development and an understanding of ethics, informed consent, and risk assessment are transferable to projects such as documentaries, journalism, podcasts, and many more. The course provides an overview of Ethical Research Review Board (ERRB) processes and human subjects research. Submitting an ERRB proposal isn’t required, but the proposal development skills are important to other genres, such as senior project proposals, fellowship applications, grant proposals, and graduate school applications. This course draws primarily on scholarship in the social sciences, specifically applied linguistics, discourse studies, and linguistic anthropology. You will develop an interview-focused project to explore a topic of your choice and present your findings in an appropriate genre, such as a research paper, journalistic piece, podcast or other genre. Evaluation is based on discussions, written assignments, labs, individual and group work, peer-reviews, data sessions, and interview and transcription practice. The readings are interview-focused and address many areas, including but not limited to food, identity, language, discourse, gender, race, and class. You must have completed your writing requirement and completed at least three terms at COA (or one academic year elsewhere) to enroll in this course.

Level: Advanced. Prerequisite: Must have taken a writing course and completed at least 3 terms at COA or one academic year at a different institution. Methods classes are not easy and require students to juggle a lot of work, readings, and deadlines. This course is probably more suitable for students in their third or fourth year. Class limit: 12. Lab fee: None. Meets the following degree requirements: HS.",
"Little-Siebold, Todd",The Human Ecology of Apples,HS HY,Intermediate/Advanced,"This course will create the opportunity for students to do project-based learning on pomology, preservation of and research about historic apple varieties and a wide range of other apple-flavored projects.  It will involve fieldtrips, roaming around looking at apples and visiting orchards all with the intention of deepening students’ knowledge base and feeding their curiosity.  One key element of the course is to provide the opportunity for students to conceptualize, plan and carry out their own research or creative projects. Students will be evaluated on their project work, engagement with course materials, and their progress deepening their knowledge. 

Level: Intermediate/Advanced. Prerequisites: History of Agriculture: Apples or equivalent academic background.  If interested, students should reach out to the instructor to discuss their experience and background. Class limit: 5. Lab fee: $100. Meets the following degree requirements: HS, HY.",
"Little-Siebold, Todd",The Human Ecology of Apples: Projects,HS HY,Intermediate/Advanced,"This course will create the opportunity for students to do project-based learning on pomology, preservation of and research about historic apple varieties and a wide range of other apple-flavored projects.  It will involve fieldtrips, roaming around looking at apples and visiting orchards all with the intention of deepening students’ knowledge base and feeding their curiosity.  One key element of the course is to provide the opportunity for students to conceptualize, plan and carry out their own research or creative projects. Students will be evaluated on their project work, engagement with course materials, and their progress deepening their knowledge. 

Level: Intermediate/Advanced. Prerequisites: History of Agriculture: Apples or equivalent academic background.  If interested, students should reach out to the instructor to discuss their experience and background. Class limit: 5. Lab fee: $200. Meets the following degree requirements: HS, HY.",
"Waldron, Karen",The Measure of Our Lives: Toni Morrison Seminar,HS,Intermediate/Advanced,"This course will be an intermediate/advanced seminar honoring and exploring the works of Toni Morrison (1931–2019), an African-American author who won the Nobel Prize for Literature in 1993, the Pulitzer Prize for Fiction in 1988 and numerous other notable awards. She was a giant of a public intellectual and contemporizing figure in American Literature; her works continue to inspire and transform readers and scholars of all identities although her primary purpose was to write for black people. As Morrison herself said, ""If there is a book that you want to read, but it hasn't been written yet, you must be the one to write it."" In writing she changed the literary landscape of the US. In particular, her poetics illustrate how African-American and especially African-American women authors express depths of meaning and experience absolutely central to any understanding of the complex culture and histories of the US. Another Morrison quote hints at the profundity of her own view of her life's work: ""We die. That may be the meaning of life. But we do language. That may be the measure of our lives."" These two quotes provide a framework for the course, which seeks students interested in language and its power, literature and its insights, and the black female experience. Over the course of the term students will read through Morrison’s oeuvre of novels (The Bluest Eye, Sula, Song of Solomon, Tar Baby, Beloved, Jazz, Paradise, Love, A Mercy, Home, God Help the Child) as well as a number of her key essays and addresses (Playing in the Dark, The Source of Self-Regard), scholarly criticism, and responses to Morrison's 2019 passing. There may be some division of labor with the later novels (after Paradise), but the course is reading intensive. Students will also prepare frequent short written responses and a final project responding to Morrison in some way. Evaluation will be based on class participation, response papers, passage analysis, and the final Morrison project to be shared with the class. 

Level: Intermediate/Advanced. Prerequisites: Prior literary study, and permission of instructor.  Class Limit: 15.  Lab fee: none.  Meets the following degree requirements: HS",
"Weber, Jill",Trees and Shrubs of Mount Desert Island,ES,Introductory/Intermediate,"This course introduces you to the native and ornamental shrubs and trees of Mount Desert Island. Lectures will cover basics of plant taxonomy and forest ecology focusing on the dominant woody plant species of the region. Laboratory and field sessions will involve the identification of woody plants and an introduction to the major woody plant habitats of the island. The course is designed to teach botany and plant taxonomy for students interested in natural history/ecology, forestry, and landscape design. Evaluations are based on  class participation, weekly field/lab quizzes, a plant collection, and term project.

Level: Introductory/Intermediate. Recommended: some background in Botany, Ecology. Offered every year. Class limit: 16.  Lab fee: $40.  Meets the following degree requirements: ES",
"Khor, Su Yin",Unraveling Writing Myths: Genre Explorations Across Contexts,W HS,Introductory/Intermediate,"Is it true that you can’t use “I” in scientific research papers? Is it accurate that you can’t start a sentence with and, or, but? And is there really only one correct way of writing? Definitions of “correct” and “good writing” have been informed by pervasive writing myths	, which have been passed down for generations. These myths are widely accepted as universal truths and have been maintained through gatekeeping practices in professional, educational, and everyday contexts. However, language researchers would argue that correctness depends on the genre and rhetorical situation as writing and language are not static. They are dynamic and evolve over time. Indeed, new lexical items are continuously formed and grammatical functions change. Language myths begin to unravel if we examine what people actually do with language and writing across contexts. 
 
In this course, we will explore a range of genres in academic, professional, and everyday contexts to understand how writing and language work. Readings from applied linguistics, linguistic anthropology, and composition will provide historical insights into how writing myths evolved over time and current understandings of writing, language, and literacy. The readings will also provide a sociocultural understanding of language and how it works. We will investigate various everyday genres (such as recipes, blogs, and social media), academic genres (such as proposals and research papers), and professional genres (such as covers letters and resumes) to facilitate metacognitive and metalinguistic development and overall academic literacy development. Genre and rhetorical analysis activities of high-stakes and low-stakes genres will develop your understanding of how genres function in different discourse communities. 
 
You will complete inquiry-based projects to examine different genres and reflect on your evolving understanding of writing. Your learning will be evaluated based on course assignments and in-class activities, specifically contributions to class discussion, engagement with course material, written projects, and peer-review workshops. Activities will facilitate the development of transferable writing skills to other courses, genres, and contexts. Overall, the course serves to facilitate academic and professional discourse and literacies to support the transition to college. Note that this course is not a literature or creative writing course. 

Level: Introductory/Intermediate. Prerequisites: None. Class Limit: 12. Lab Fee: None. Meets the following degree requirements: W, HS.",
"Lakey, Heather",Utopia/Dystopia,HS,Introductory,"The practice of social dreaming has a long history in philosophical thinking, stretching back to Tao Yuanming and Plato. What constitutes a perfect or ideal society? Or, if no such place is possible, what makes for a well-functioning society? Likewise, what constitutes a terrible society? What kind of places and spaces do we want to avoid? These are important questions for human ecologists to ask as we seek to improve our relationships with our natural, social, and technological environments. To explore questions of imaginary, ideal, and flawed places, this course studies the concepts of utopia and dystopia across a range of philosophical, political, and literary writings. Although we will focus our attention on theoretical literature, we will read one novel and several short stories.

Additional course questions include: What motivates us to envision utopias and dystopias? Does political philosophy require a utopian vision? What do utopias and dystopias tell us about social fears, anxieties, and hopes? Are utopia and dystopia inherently connected? What theoretical questions spring from the utopia/dystopia binary?  We will read texts such as, Plato’s Republic, Thomas More’s Utopia, Rokeya Hossain’s Sultana’s Dream, Marx and Engels’ Communist Manifesto, Elizabeth Grosz’s The Time of Architecture; William Godwin’s Enquiry Concerning Political Justice, José Estaban Muñoz’s Cruising Utopia, Sigmund Freud’s Civilization and Its Discontents, Octavia Butler’s Parable of the Sower, Ursula K. LaGuin’s The Ones Who Walk Away From Omelas, Laozi's Tao Te Ching, Hannah Arendt’s The Origins of Totalitarianism, Alex Zamalin’s Black Utopia, and selections from The Utopian Reader by Gregory Claeys and Lyman Tower Sargent.  

Level: Introductory.  Prerequisites: None.  Class limit: 15.  Lab fee: none.  Meets the following degree requirements: HS",
"van Vliet, Netta",Waste,HS,Intermediate/Advanced,"The term ""waste"" has varied definitions; it can suggest excess material not put to use, garbage, time or objects that are not made productive or useful, and that which is thrown away. Waste is both a verb and a noun, and the term often carries moral or ethical undertones; time should not be wasted, neither should food nor material goods, and of course, life itself should not be wasted. Waste should be reduced or transformed through consumption or recycling. Waste can occasion disgust and outrage, but even if less acknowledged, also fascination, desire and pleasure.  Time spent idle is often time considered ""wasted."" Waste is also often understood as destructive and as the product of destruction. At the same time, waste can also be a necessary by product of its opposites. Psychoanalysis has drawn attention to feces association with gold and the notion of the gift of waste in the formation of subjectivity. Political economy, postcolonial studies, anthropology  and feminist theory have all addressed histories of abjection, notions of excrement, disposable populations, and the ways in which humans have dealt with literal waste and those materials and lives that become understood as waste. In this regard, understandings of waste have been central for notions of value, productivity, desire, cleanliness and filth, inside and outside, and the place of difference. In this course, we will examine some of the varied ways in which waste has been understood - in terms of political economy, political theory, postcolonial studies and feminist theory, addressing waste in terms of identity, the natural environment, value, and the formation of what counts as human. Readings will include texts by Karl Marx, Frantz Fanon, Georges Bataille, Julia Kristeva, Sigmund Freud, Dominque Laporte, Mary Douglas, Jacques Lacan, Norman O. Brown, Sophia Stamatopoulou-Robbins, William Rathje and Cullen Murphy, Kathleen Millar, Hannah Arendt, Carl Schmitt, Kevin Bales, Paul Ricoeur, Ranjana Khanna, and Françoise Vergès.  Students will be evaluated based on attendance, in-class participation, reading responses, and two short analytical essays. 

Level: Intermediate/Advanced.  Prerequisites: none.  Class limit: 10.  Lab fee: None.  Meets the following degree requirements: HS",
"Muller, Brook","Water, Design, and Environmental Futures",AD,Introductory/Intermediate,"This course investigates an ecological design approach that centers on water and water systems as a means of achieving community development goals in an equitable and environmentally responsive manner. Participants will investigate contemporary water challenges facing communities (the combination of which varies from location to location): scarcity, poor water quality, downstream ecological impacts associated with processes of urbanization, climate change and sea level rise, and others. We will examine and reframe these challenges through the lens of the “hydro-social,” a term geographers use to describe how cultural perspectives shape our relationships to water (in other words, water is more than simply H2O). Through use of case study project examples, we will explore how combinations of age-old (premodern and vernacular) water systems design strategies and cutting-edge approaches can lead to projects of greater resilience, ecological responsiveness, beauty, and civic identity than more conventional, engineered, “end-of-pipe” solutions. We will lastly explore how these strategies might apply to a case study watershed that we will investigate in the last portion of the class. The course does not require previous experience in design; rather it is intended to engender greater awareness of how systems-based design thinking can allow us to address contemporary hydro-social challenges holistically. Evaluations will be based on participation and sustained engagement with course content; responses to this material in the form of short, illustrated essays that combine written narratives with simple diagrams, photographs, and sketches; analysis of case study projects through a framework we will introduce in the first part of the class; and a “final synthesis” assignment that involves speculating about the application of strategies and approaches discussed throughout the class to the case study watershed.

Level: Introductory/Intermediate. Prerequisites: None.  Class limit: 16.  Lab fee: None.  Meets the following degree requirements: AD.",
"Donovan, Martha","Writing as Art, Craft, and Social Action",W HS,Introductory/Intermediate,"We write to discover what awes us, what questions we most need to ask, what conversations we hope to join, what causes we are drawn to support, what convictions we want to voice, and what ways we can write the world anew. Writing is both an art and a social action that can change us and our audiences. That is the province of this course.

We will read and analyze various forms of writing (genres) on a broad range of social and policy issues, such as the value of wonder, the importance of antiracist work, the need for accessibility policies on college campuses, and other issues. We will consider the craft, context, audience, purpose, and possibilities of these texts as guides for our own writing. We will focus on the possibilities of the written and spoken word; the power of our distinct and unique voices; the importance of taking risks in our thinking and writing; the messiness, urgency, and necessity of the writing process; and the value of intellectual inquiry and the seamless integration and documentation of researched material. 

Students will address current issues of pressing concern and personal relevance in their own writing in three different selected genres (e.g., reflective essay, commentary, letter to editor, Commencement speech, testimony, proposal, open letter, personal statement, etc.). Students will examine and develop strategies for writing with curiosity, clarity, complexity, creativity, courage, and compassion as they invite their audience to consider their ideas and invitations/calls to action. Students will write about issues that matter to them, ones of interest to a local (Mount Desert Island or home town), state (Maine or home state), and/or national audience.

Classwork will include various analytical, generative, and collaborative exercises designed to help with matters of language, craft, technique, and rhetorical awareness. Students will write for a public audience and participate in active engagement with each other’s work.

Authors (representing a range of genres and topics) will likely include Annie Dillard, Rachel Carson, Barry Lopez, David Whyte, Margaret Renkl, Toni Morrison, Martin Luther King Jr., Terry Tempest Williams, and others. Students will also select a longer text to read from a list of authors that may include Jonathan Safran Foer, Susan Cain, Felicia Rose Chavez, Claudia Rankine, and others.

Students will be evaluated on class participation, written assignments, writing process, and presentations. 

Level: Introductory/Intermediate. Prerequisites: None.  Class limit: 12.  Lab fee: None.  Meets the following degree requirements: W, HS.",
